manufacturer;name;rname;cores;threads;base;boost;l1;l2;l3;l1asso;pagesize;loadbuffer;l1dtlb;microarchitecture
Intel;Intel(R) Core(TM) i7-7700K;;4;8;4.20;4.50;32;256;8;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-10710U;;6;12;1.10;4.70;32;256;12;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i5-4310U;;2;4;2.00;3.00;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-1115G4;;2;4;2.20;3.90;48;1280;6;12;4096;;64;Tiger Lake
Intel;Intel(R) Core(TM) i5-5350U;;2;4;1.80;2.90;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Celeron(R) CPU G3930;;2;2;2.90;2.90;32;256;2;8;4096;;64;Kaby Lake
AMD;AMD FX(TM)-8120;;8;8;3.10;4.00;16;2048;8;4;4096;;64;Bulldozer
AMD;AMD A10-6800K APU;;4;4;4.10;4.40;16;2048;;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i5-3340M;;2;4;2.70;3.40;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-4260U;;2;4;1.40;2.70;32;256;3;8;4096;;64;Haswell
AMD;AMD Ryzen 7 5700G;;8;16;3.80;4.60;32;512;16;8;4096;;64;Zen 3
Intel;Intel(R) Core(TM) i5-1035G4;;4;8;1.10;3.70;48;512;6;12;4096;;64;Ice Lake
Intel;Intel(R) Core(TM) i5-2400;;4;4;3.10;3.40;32;256;6;8;4096;;64;Sandy Bridge
AMD;AMD FX(TM)-6300;;6;6;3.50;4.10;16;2048;;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i7-5820K;;6;12;3.30;3.60;32;256;15;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-4210U;;2;4;1.70;2.70;32;256;3;8;4096;;64;Haswell
AMD;AMD A9-9420;;2;2;3.00;3.60;32;1024;;8;4096;;64;Excavator
AMD;AMD A9-9425;;2;2;3.10;3.70;32;1024;;8;4096;;64;Excavator
AMD;AMD A12-9720P;;4;4;2.70;3.60;32;1024;;8;4096;;64;Excavator
AMD;AMD Phenom II X4 925;;4;4;2.80;2.80;64;512;6;2;4096;;64;K10
AMD;AMD FX-7500;;4;4;2.10;3.30;16;2048;;4;4096;;64;Steamroller
AMD;AMD A8-7410 APU;;4;4;2.20;2.50;32;2048;;8;4096;;64;Puma+
AMD;AMD A6-5200 APU;;4;4;2.00;2.00;32;2048;;8;4096;;64;Jaguar
Intel;Intel(R) Pentium(R) Dual-Core CPU E5200;;2;2;2.50;2.50;32;2048;;8;4096;;64;Wolfdale
